age,gender,weight_kg,height_cm,bmi,activity_level,goal,goal_encoded,health_condition,condition_encoded,region,region_encoded,protein_pct,carbs_pct,fat_pct,diet_category
23,1,69.2,167.2,24.76,1.375,loss,-1,none,0,south_india,1,33,32,35,maintenance
59,0,74.7,159.2,29.47,1.55,maintain,0,diabetes,1,north_india,0,39,26,35,medical_diet
21,0,59.7,160.3,23.22,1.375,loss,-1,thyroid,3,west_india,2,37,28,35,medical_diet
46,1,73.2,169.1,25.59,1.55,gain,1,none,0,west_india,2,41,50,9,muscle_gain
35,1,58.3,165.0,21.42,1.375,loss,-1,none,0,east_india,3,35,32,33,maintenance
43,0,40.1,153.3,17.06,1.55,loss,-1,pcos,4,north_india,0,45,17,38,muscle_gain
61,0,58.6,148.6,26.54,1.2,loss,-1,hypertension,2,south_india,1,33,33,34,weight_loss
51,1,72.2,157.2,29.19,1.55,loss,-1,none,0,west_india,2,34,31,35,weight_loss
27,0,67.3,158.8,26.67,1.375,gain,1,thyroid,3,north_india,0,39,52,9,muscle_gain
53,0,64.2,162.6,24.28,1.55,loss,-1,diabetes,1,west_india,2,43,16,41,medical_diet
31,1,50.2,161.8,19.15,1.375,loss,-1,none,0,north_india,0,35,31,34,maintenance
48,1,76.0,162.3,28.85,1.2,loss,-1,thyroid,3,north_india,0,35,28,37,weight_loss
65,1,73.4,166.4,26.49,1.375,gain,1,diabetes,1,east_india,3,52,36,12,muscle_gain
32,0,74.7,150.4,33.02,1.9,loss,-1,hypertension,2,north_india,0,36,35,29,weight_loss
25,1,53.1,166.9,19.05,1.55,maintain,0,none,0,south_india,1,32,38,30,maintenance
31,1,81.4,171.0,27.82,1.375,maintain,0,hypertension,2,south_india,1,29,43,28,medical_diet
40,0,67.1,160.6,26.05,1.725,gain,1,none,0,north_india,0,42,49,9,muscle_gain
57,1,60.3,164.4,22.31,1.55,maintain,0,hypertension,2,east_india,3,29,45,26,medical_diet
38,0,62.0,145.6,29.23,1.375,loss,-1,none,0,north_india,0,37,32,31,weight_loss
33,0,56.0,151.2,24.51,1.55,loss,-1,none,0,north_india,0,36,31,33,maintenance
62,0,45.8,157.0,18.57,1.375,loss,-1,hypertension,2,south_india,1,37,36,27,medical_diet
35,0,56.1,157.5,22.61,1.2,maintain,0,none,0,south_india,1,32,38,30,maintenance
64,0,38.0,148.6,17.22,1.55,loss,-1,thyroid,3,north_india,0,37,31,32,muscle_gain
41,0,42.2,147.8,19.3,1.2,loss,-1,none,0,south_india,1,34,30,36,maintenance
43,1,68.6,160.2,26.75,1.375,loss,-1,diabetes,1,south_india,1,47,17,36,weight_loss
42,1,84.4,172.5,28.35,1.55,gain,1,none,0,north_india,0,40,51,9,muscle_gain
62,1,61.2,158.5,24.35,1.725,maintain,0,diabetes,1,west_india,2,40,23,37,medical_diet
58,0,45.3,154.3,19.03,1.2,loss,-1,diabetes,1,south_india,1,46,15,39,medical_diet
46,1,65.5,161.0,25.3,1.375,loss,-1,hypertension,2,west_india,2,33,37,30,weight_loss
32,0,60.4,151.7,26.24,1.55,loss,-1,hypertension,2,east_india,3,37,35,28,weight_loss
62,1,41.8,165.4,15.26,1.55,loss,-1,none,0,east_india,3,37,30,33,muscle_gain
18,0,58.5,157.1,23.7,1.725,maintain,0,diabetes,1,north_india,0,39,25,36,medical_diet
42,1,65.9,168.2,23.3,1.2,maintain,0,hypertension,2,south_india,1,28,46,26,medical_diet
24,0,68.9,157.4,27.79,1.55,gain,1,hypertension,2,south_india,1,38,55,7,muscle_gain
26,1,77.0,172.4,25.92,1.2,gain,1,thyroid,3,north_india,0,42,51,7,muscle_gain
41,0,63.8,158.0,25.56,1.55,loss,-1,hypertension,2,east_india,3,37,35,28,weight_loss
18,1,55.3,161.1,21.31,1.2,gain,1,diabetes,1,north_india,0,52,37,11,muscle_gain
61,0,62.1,162.0,23.64,1.725,maintain,0,hypertension,2,south_india,1,28,43,29,medical_diet
25,1,82.7,171.3,28.16,1.2,maintain,0,hypertension,2,north_india,0,30,46,24,medical_diet
41,1,66.1,166.9,23.74,1.55,gain,1,hypertension,2,west_india,2,39,53,8,muscle_gain
28,1,80.0,177.9,25.28,1.2,gain,1,none,0,west_india,2,40,52,8,muscle_gain
68,0,38.0,154.4,15.94,1.375,gain,1,hypertension,2,east_india,3,42,53,5,muscle_gain
34,0,53.9,154.7,22.51,1.55,loss,-1,thyroid,3,south_india,1,33,30,37,medical_diet
25,0,38.0,151.7,16.51,1.2,loss,-1,none,0,west_india,2,35,32,33,muscle_gain
52,0,50.8,157.0,20.62,1.2,gain,1,none,0,south_india,1,38,51,11,muscle_gain
52,0,61.9,161.2,23.84,1.2,loss,-1,none,0,west_india,2,37,32,31,maintenance
50,1,75.8,166.6,27.31,1.2,maintain,0,none,0,north_india,0,30,41,29,maintenance
22,0,44.8,156.8,18.22,1.2,maintain,0,thyroid,3,south_india,1,28,40,32,muscle_gain
59,1,74.8,170.3,25.79,1.375,maintain,0,none,0,north_india,0,31,39,30,maintenance
56,1,89.5,171.9,30.3,1.55,loss,-1,hypertension,2,west_india,2,35,35,30,weight_loss
58,0,46.0,153.7,19.48,1.55,loss,-1,hypertension,2,north_india,0,34,35,31,medical_diet
45,1,41.0,159.5,16.1,1.2,gain,1,thyroid,3,north_india,0,38,48,14,muscle_gain
24,0,56.4,152.9,24.12,1.2,loss,-1,none,0,east_india,3,37,29,34,maintenance
26,0,45.7,160.0,17.85,1.55,maintain,0,none,0,south_india,1,32,42,26,muscle_gain
25,0,46.6,156.4,19.04,1.375,maintain,0,none,0,east_india,3,30,39,31,maintenance
29,1,86.4,175.4,28.11,1.2,loss,-1,none,0,south_india,1,37,30,33,weight_loss
51,0,81.1,158.6,32.25,1.375,loss,-1,none,0,south_india,1,36,28,36,weight_loss
50,0,42.5,154.5,17.8,1.2,maintain,0,none,0,west_india,2,29,39,32,muscle_gain
65,0,54.9,163.8,20.48,1.2,loss,-1,none,0,north_india,0,35,32,33,maintenance
40,1,60.6,165.9,22.03,1.55,loss,-1,none,0,north_india,0,35,29,36,maintenance
41,0,49.3,155.9,20.29,1.2,gain,1,none,0,west_india,2,42,51,7,muscle_gain
54,1,90.2,167.0,32.34,1.725,maintain,0,hypertension,2,south_india,1,28,46,26,medical_diet
52,1,63.4,169.8,22.0,1.725,gain,1,diabetes,1,west_india,2,52,37,11,muscle_gain
61,0,42.3,146.9,19.58,1.55,loss,-1,diabetes,1,north_india,0,43,14,43,medical_diet
57,1,92.1,172.7,30.88,1.375,maintain,0,hypertension,2,south_india,1,32,43,25,medical_diet
39,1,64.1,157.2,25.95,1.2,loss,-1,none,0,north_india,0,33,32,35,weight_loss
44,0,73.5,161.7,28.12,1.375,loss,-1,hypertension,2,south_india,1,33,35,32,weight_loss
52,0,46.3,157.2,18.74,1.375,gain,1,none,0,west_india,2,41,50,9,muscle_gain
18,0,45.4,151.7,19.7,1.725,loss,-1,none,0,north_india,0,36,32,32,maintenance
52,1,66.0,178.5,20.72,1.2,loss,-1,none,0,south_india,1,36,30,34,maintenance
54,0,75.8,166.2,27.45,1.55,gain,1,none,0,south_india,1,42,51,7,muscle_gain
64,1,93.1,178.4,29.25,1.55,gain,1,none,0,west_india,2,39,48,13,muscle_gain
31,1,56.2,163.4,21.05,1.55,gain,1,pcos,4,south_india,1,51,33,16,muscle_gain
20,1,72.9,177.3,23.2,1.375,loss,-1,diabetes,1,north_india,0,45,13,42,medical_diet
18,1,69.9,173.7,23.15,1.55,loss,-1,none,0,east_india,3,34,29,37,maintenance
22,1,43.0,161.6,16.48,1.9,loss,-1,hypertension,2,east_india,3,35,37,28,muscle_gain
43,0,50.3,158.4,20.05,1.2,maintain,0,hypertension,2,south_india,1,31,45,24,medical_diet
31,0,74.4,165.1,27.29,1.2,loss,-1,none,0,west_india,2,35,29,36,weight_loss
56,1,61.9,172.4,20.82,1.375,loss,-1,hypertension,2,north_india,0,37,35,28,medical_diet
44,1,67.6,166.4,24.39,1.375,maintain,0,thyroid,3,north_india,0,30,42,28,medical_diet
26,0,44.4,160.1,17.33,1.2,maintain,0,diabetes,1,west_india,2,39,25,36,muscle_gain
32,0,55.0,156.8,22.4,1.2,loss,-1,diabetes,1,north_india,0,46,14,40,medical_diet
32,1,60.5,167.3,21.63,1.2,gain,1,thyroid,3,north_india,0,40,49,11,muscle_gain
43,1,59.1,173.8,19.58,1.55,loss,-1,diabetes,1,south_india,1,45,14,41,medical_diet
59,0,68.2,158.7,27.07,1.375,gain,1,pcos,4,north_india,0,50,33,17,muscle_gain
30,0,58.6,148.5,26.6,1.55,gain,1,none,0,north_india,0,40,51,9,muscle_gain
68,1,51.6,163.3,19.37,1.375,loss,-1,hypertension,2,north_india,0,34,34,32,medical_diet
49,0,57.7,160.2,22.45,1.55,loss,-1,diabetes,1,south_india,1,43,16,41,medical_diet
56,0,63.4,162.9,23.9,1.375,loss,-1,none,0,west_india,2,37,29,34,maintenance
66,1,43.1,164.9,15.86,1.55,gain,1,thyroid,3,north_india,0,41,50,9,muscle_gain
69,1,62.4,179.2,19.44,1.375,loss,-1,pcos,4,south_india,1,43,17,40,medical_diet
49,1,89.7,174.2,29.54,1.2,maintain,0,none,0,north_india,0,32,39,29,maintenance
21,0,46.7,159.5,18.36,1.725,maintain,0,thyroid,3,north_india,0,30,38,32,muscle_gain
47,1,70.4,155.3,29.19,1.55,loss,-1,none,0,north_india,0,33,29,38,weight_loss
54,0,38.9,155.0,16.18,1.375,gain,1,none,0,north_india,0,42,50,8,muscle_gain
40,1,76.6,168.7,26.92,1.9,gain,1,none,0,north_india,0,42,50,8,muscle_gain
56,1,72.4,176.2,23.34,1.375,loss,-1,thyroid,3,west_india,2,33,30,37,medical_diet
62,0,55.1,157.1,22.31,1.375,loss,-1,hypertension,2,east_india,3,35,35,30,medical_diet
32,0,81.0,158.7,32.15,1.55,loss,-1,none,0,west_india,2,35,29,36,weight_loss
60,1,58.6,173.6,19.43,1.375,gain,1,diabetes,1,north_india,0,51,36,13,muscle_gain
46,1,80.5,173.4,26.78,1.375,loss,-1,none,0,south_india,1,37,30,33,weight_loss
53,0,60.9,154.2,25.59,1.375,gain,1,hypertension,2,west_india,2,41,55,4,muscle_gain
30,1,111.7,171.5,38.0,1.375,loss,-1,none,0,north_india,0,35,29,36,weight_loss
49,0,40.6,153.5,17.23,1.2,loss,-1,none,0,north_india,0,37,32,31,muscle_gain
24,0,61.0,168.5,21.48,1.2,maintain,0,hypertension,2,south_india,1,31,43,26,medical_diet
68,1,69.7,159.9,27.26,1.725,loss,-1,diabetes,1,north_india,0,46,13,41,weight_loss
39,0,57.9,160.3,22.53,1.375,gain,1,hypertension,2,south_india,1,41,53,6,muscle_gain
45,0,59.4,165.0,21.83,1.2,loss,-1,diabetes,1,north_india,0,47,17,36,medical_diet
19,0,73.3,161.8,28.0,1.55,gain,1,none,0,south_india,1,39,49,12,muscle_gain
59,1,72.8,176.0,23.5,1.2,gain,1,diabetes,1,west_india,2,49,37,14,muscle_gain
62,0,38.0,148.0,17.36,1.2,gain,1,none,0,south_india,1,40,50,10,muscle_gain
23,1,67.6,158.9,26.78,1.9,loss,-1,none,0,north_india,0,37,29,34,weight_loss
45,1,54.9,150.4,24.27,1.725,maintain,0,hypertension,2,west_india,2,32,44,24,medical_diet
45,1,65.3,169.0,22.85,1.2,loss,-1,hypertension,2,south_india,1,33,33,34,medical_diet
61,0,43.8,148.1,19.96,1.725,gain,1,thyroid,3,south_india,1,41,50,9,muscle_gain
61,0,49.0,160.0,19.14,1.725,loss,-1,diabetes,1,south_india,1,45,16,39,medical_diet
37,1,64.8,156.1,26.59,1.55,loss,-1,thyroid,3,north_india,0,37,29,34,weight_loss
47,1,58.5,162.9,22.07,1.375,gain,1,diabetes,1,south_india,1,48,34,18,muscle_gain
28,0,43.3,152.5,18.61,1.2,loss,-1,none,0,north_india,0,33,29,38,maintenance
45,1,57.2,172.7,19.2,1.2,loss,-1,none,0,west_india,2,37,31,32,maintenance
42,1,74.0,169.3,25.82,1.55,maintain,0,hypertension,2,south_india,1,30,43,27,medical_diet
56,0,51.9,158.0,20.79,1.55,gain,1,diabetes,1,east_india,3,50,35,15,muscle_gain
50,1,38.0,160.8,14.71,1.55,loss,-1,none,0,east_india,3,34,31,35,muscle_gain
18,0,45.6,160.0,17.8,1.2,gain,1,none,0,south_india,1,39,49,12,muscle_gain
44,0,49.1,151.9,21.27,1.2,loss,-1,none,0,north_india,0,35,28,37,maintenance
69,1,70.4,172.9,23.56,1.375,gain,1,none,0,south_india,1,38,50,12,muscle_gain
30,0,55.1,158.0,22.06,1.55,loss,-1,none,0,north_india,0,34,32,34,maintenance
58,0,53.8,158.4,21.44,1.2,loss,-1,none,0,south_india,1,33,28,39,maintenance
20,0,39.8,157.5,16.04,1.55,gain,1,hypertension,2,south_india,1,39,55,6,muscle_gain
56,1,52.7,163.2,19.79,1.55,loss,-1,thyroid,3,south_india,1,33,29,38,medical_diet
23,1,82.1,167.9,29.13,1.2,loss,-1,hypertension,2,south_india,1,36,35,29,weight_loss
25,1,78.8,166.3,28.47,1.2,loss,-1,diabetes,1,south_india,1,47,14,39,weight_loss
44,0,60.1,153.2,25.62,1.2,maintain,0,diabetes,1,north_india,0,40,23,37,medical_diet
26,0,50.9,145.0,24.2,1.725,loss,-1,thyroid,3,north_india,0,36,32,32,medical_diet
54,1,78.7,167.8,27.94,1.375,loss,-1,none,0,north_india,0,35,28,37,weight_loss
50,1,57.3,170.8,19.66,1.375,loss,-1,none,0,west_india,2,33,29,38,maintenance
68,0,63.8,163.4,23.89,1.55,loss,-1,none,0,west_india,2,34,31,35,maintenance
59,1,64.0,177.4,20.33,1.375,maintain,0,diabetes,1,west_india,2,39,23,38,medical_diet
61,1,60.2,173.4,20.01,1.2,gain,1,none,0,east_india,3,39,52,9,muscle_gain
41,1,72.4,167.9,25.66,1.55,maintain,0,none,0,north_india,0,32,41,27,maintenance
32,1,80.9,169.5,28.15,1.55,loss,-1,hypertension,2,south_india,1,37,36,27,weight_loss
49,1,67.7,170.1,23.42,1.2,maintain,0,hypertension,2,east_india,3,30,44,26,medical_diet
49,0,71.9,152.1,31.07,1.2,loss,-1,none,0,north_india,0,34,30,36,weight_loss
41,1,57.8,155.2,23.97,1.55,gain,1,diabetes,1,west_india,2,51,37,12,muscle_gain
58,1,56.6,165.9,20.56,1.55,maintain,0,hypertension,2,south_india,1,30,44,26,medical_diet
69,0,42.6,155.6,17.59,1.2,loss,-1,none,0,east_india,3,37,32,31,muscle_gain
66,0,71.8,159.6,28.19,1.55,loss,-1,none,0,south_india,1,37,30,33,weight_loss
66,0,64.5,163.0,24.29,1.725,maintain,0,none,0,south_india,1,29,39,32,maintenance
69,0,75.4,167.3,26.94,1.2,maintain,0,hypertension,2,north_india,0,32,43,25,medical_diet
29,1,42.4,174.3,13.95,1.375,loss,-1,hypertension,2,north_india,0,33,33,34,muscle_gain
56,1,73.9,171.0,25.28,1.55,loss,-1,none,0,east_india,3,37,31,32,weight_loss
19,1,54.0,160.1,21.05,1.2,maintain,0,none,0,south_india,1,29,40,31,maintenance
20,1,50.8,167.5,18.1,1.55,loss,-1,none,0,south_india,1,35,29,36,muscle_gain
66,0,59.3,160.1,23.15,1.725,maintain,0,none,0,west_india,2,32,40,28,maintenance
54,0,72.4,159.3,28.53,1.55,loss,-1,none,0,south_india,1,36,30,34,weight_loss
66,1,90.4,163.2,33.94,1.2,loss,-1,none,0,east_india,3,36,28,36,weight_loss
34,1,69.6,166.7,25.05,1.55,loss,-1,none,0,east_india,3,33,29,38,weight_loss
66,1,58.7,167.2,20.99,1.375,maintain,0,none,0,west_india,2,30,41,29,maintenance
19,1,48.4,157.6,19.48,1.2,loss,-1,none,0,east_india,3,33,29,38,maintenance
19,0,65.0,153.5,27.61,1.2,maintain,0,hypertension,2,north_india,0,28,43,29,medical_diet
45,1,55.3,167.3,19.77,1.725,maintain,0,none,0,north_india,0,29,41,30,maintenance
40,0,58.8,151.3,25.68,1.375,maintain,0,none,0,north_india,0,29,41,30,maintenance
54,0,61.0,157.5,24.6,1.725,gain,1,pcos,4,east_india,3,49,37,14,muscle_gain
49,0,54.5,152.3,23.5,1.2,gain,1,none,0,south_india,1,41,49,10,muscle_gain
50,0,44.5,163.3,16.68,1.55,maintain,0,none,0,east_india,3,32,42,26,muscle_gain
18,1,61.1,165.4,22.34,1.2,maintain,0,none,0,north_india,0,30,38,32,maintenance
36,1,44.2,161.7,16.91,1.2,loss,-1,none,0,north_india,0,34,29,37,muscle_gain
19,1,65.0,172.0,21.95,1.9,gain,1,diabetes,1,south_india,1,50,34,16,muscle_gain
61,1,89.4,178.4,28.09,1.2,gain,1,none,0,north_india,0,38,49,13,muscle_gain
43,0,77.5,162.7,29.27,1.375,maintain,0,none,0,east_india,3,32,42,26,maintenance
49,0,52.7,150.1,23.38,1.725,loss,-1,pcos,4,south_india,1,46,15,39,medical_diet
23,0,52.4,159.2,20.66,1.55,maintain,0,none,0,west_india,2,30,40,30,maintenance
49,1,75.9,156.8,30.85,1.375,loss,-1,diabetes,1,south_india,1,47,15,38,weight_loss
21,0,47.5,154.5,19.89,1.55,loss,-1,thyroid,3,south_india,1,35,32,33,medical_diet
28,0,38.0,149.4,17.01,1.55,maintain,0,thyroid,3,west_india,2,28,42,30,muscle_gain
34,0,65.1,156.8,26.5,1.2,gain,1,none,0,north_india,0,39,51,10,muscle_gain
55,0,69.9,164.4,25.86,1.2,loss,-1,pcos,4,east_india,3,43,15,42,weight_loss
41,1,53.4,159.9,20.88,1.375,loss,-1,diabetes,1,south_india,1,45,17,38,medical_diet
22,0,55.6,154.4,23.33,1.375,loss,-1,diabetes,1,south_india,1,46,16,38,medical_diet
69,0,54.6,149.3,24.5,1.2,gain,1,diabetes,1,west_india,2,50,33,17,muscle_gain
51,1,69.7,167.2,24.92,1.2,maintain,0,none,0,south_india,1,31,38,31,maintenance
23,1,84.7,179.2,26.38,1.375,maintain,0,none,0,east_india,3,31,42,27,maintenance
39,1,60.9,167.0,21.85,1.375,maintain,0,diabetes,1,east_india,3,40,26,34,medical_diet
28,0,62.7,156.4,25.64,1.375,maintain,0,none,0,north_india,0,30,41,29,maintenance
65,0,52.7,152.5,22.66,1.2,loss,-1,hypertension,2,north_india,0,36,37,27,medical_diet
33,0,58.0,163.6,21.65,1.55,loss,-1,none,0,north_india,0,35,29,36,maintenance
50,0,54.9,157.8,22.03,1.725,maintain,0,hypertension,2,south_india,1,32,43,25,medical_diet
26,1,80.8,181.9,24.4,1.2,loss,-1,none,0,south_india,1,36,28,36,maintenance
23,0,38.0,146.7,17.67,1.2,loss,-1,none,0,south_india,1,36,29,35,muscle_gain
33,0,38.0,145.0,18.07,1.55,maintain,0,hypertension,2,east_india,3,30,43,27,muscle_gain
46,1,73.7,172.9,24.65,1.725,loss,-1,none,0,east_india,3,33,28,39,maintenance
20,1,49.4,165.6,18.0,1.2,loss,-1,hypertension,2,south_india,1,37,33,30,muscle_gain
37,1,52.5,159.9,20.52,1.2,loss,-1,hypertension,2,south_india,1,35,33,32,medical_diet
53,0,73.6,145.0,35.01,1.2,maintain,0,none,0,south_india,1,29,40,31,maintenance
36,0,53.0,166.6,19.11,1.55,loss,-1,none,0,south_india,1,37,32,31,maintenance
43,0,53.4,158.0,21.39,1.9,loss,-1,none,0,north_india,0,34,29,37,maintenance
20,0,55.2,165.2,20.22,1.55,maintain,0,hypertension,2,north_india,0,32,43,25,medical_diet
36,0,50.3,151.7,21.85,1.375,maintain,0,hypertension,2,east_india,3,31,45,24,medical_diet
37,1,59.0,168.8,20.71,1.55,loss,-1,none,0,west_india,2,37,32,31,maintenance
49,1,61.6,164.5,22.76,1.2,loss,-1,none,0,west_india,2,35,29,36,maintenance
24,0,53.3,161.9,20.33,1.55,gain,1,none,0,west_india,2,39,48,13,muscle_gain
69,0,68.3,155.6,28.19,1.375,loss,-1,none,0,north_india,0,33,28,39,weight_loss
58,0,60.8,159.8,23.81,1.2,maintain,0,pcos,4,south_india,1,39,23,38,medical_diet
50,0,51.6,163.6,19.27,1.2,gain,1,none,0,north_india,0,41,51,8,muscle_gain
57,0,63.2,153.1,26.96,1.55,loss,-1,none,0,west_india,2,36,30,34,weight_loss
56,1,54.1,165.6,19.73,1.55,loss,-1,hypertension,2,north_india,0,33,37,30,medical_diet
35,1,54.5,173.3,18.16,1.375,loss,-1,diabetes,1,west_india,2,47,14,39,muscle_gain
57,1,71.1,171.1,24.28,1.2,loss,-1,none,0,south_india,1,37,29,34,maintenance
18,0,91.6,168.7,32.18,1.2,loss,-1,none,0,south_india,1,36,30,34,weight_loss
28,0,38.0,149.5,16.99,1.2,maintain,0,diabetes,1,west_india,2,38,25,37,muscle_gain
