name,calories,protein,carbs,fat,fiber,sugar,category,diet_type,region,meal_type,health_tags,glycemic_index
minestrone soup,42.66,9.3,3.71,11.09,1.92,1.01,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
egg drop soup,26.64,12.93,1.1,13.52,0.81,0.6,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly""]",medium
chinese cabbage and meat ball soup,484.31,5.21,1.43,56.57,0.57,0.37,other,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
french onion soup,55.61,11.41,4.28,14.39,1.01,1.5,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
hot and sour soup,31.51,3.12,1.78,1.31,0.6,0.66,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
talaumein soup,35.63,10.12,4.17,12.78,1.94,0.77,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
cold cucumber soup (thanda kheere ka soup),48.03,2.99,4.58,1.99,0.88,3.34,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
cold summer garden soup,49.19,8.57,2.65,14.08,1.86,0.46,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
chapati/roti,202.31,5.88,35.65,3.56,6.31,1.0,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""high-fiber"", ""low-fat"", ""vegan""]",medium
plain parantha/paratha,298.3,5.06,30.69,16.86,5.43,0.86,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""high-fiber"", ""vegan""]",medium
potato parantha/paratha (aloo ka parantha/paratha),205.04,3.7,23.92,10.22,4.18,1.15,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
radish parantha/paratha (mooli ka parantha/paratha),183.52,3.3,20.54,9.53,4.32,1.31,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
cauliflower parantha/paratha (phoolgobhi ka parantha/paratha),178.07,3.73,18.84,9.47,4.68,1.15,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
dal parantha/paratha,268.24,6.78,30.03,13.05,6.46,1.43,protein,vegan,north_india,"['lunch', 'dinner']","[""high-fiber"", ""vegan""]",medium
sprouted moong parantha/paratha,228.59,4.29,24.31,12.43,4.49,1.47,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
pea parantha/paratha (matar ka parantha/paratha),190.73,5.59,21.51,8.8,5.61,1.29,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""high-fiber"", ""diabetes-friendly"", ""vegan""]",medium
keema parantha/paratha,238.09,9.41,18.36,13.91,3.44,0.99,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
paneer parantha/paratha,262.97,7.98,24.33,14.62,4.0,3.77,protein,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
besan and spinach parantha/paratha (besan aur palak ka parantha/paratha),216.49,5.54,21.39,12.09,4.39,1.31,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
poori,737.63,1.35,8.22,77.61,1.46,0.23,other,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
spinach poori (palak poori),684.25,1.42,7.76,71.86,1.55,0.24,vegetable,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
methi poori,710.02,1.45,7.98,74.6,1.61,0.26,other,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
dal stuffed poori,785.16,2.08,10.14,81.69,1.96,0.29,protein,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
potato stuffed poori (aloo ki poori),776.74,1.52,9.4,81.35,1.64,0.26,vegetable,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
tandoori parantha/paratha,295.37,5.08,30.74,16.51,5.44,0.86,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""high-fiber"", ""vegan""]",medium
boiled rice (uble chawal),117.19,2.6,25.72,0.18,1.25,0.22,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
plain pulao,140.21,2.34,21.82,4.62,1.69,1.15,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
mixed vegetable pulao,113.05,2.72,17.49,3.33,2.67,1.35,vegetable,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
mushroom pulao,124.29,2.52,19.02,4.03,1.88,1.0,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
sprouted moong pulao,112.97,2.19,17.49,3.61,1.78,1.43,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
paneer pulao,581.91,1.98,8.76,59.81,0.62,1.11,protein,veg,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""veg""]",medium
peanut pulao,193.28,5.32,21.18,9.51,2.9,1.6,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
navratan pulao,261.71,6.2,36.98,9.45,3.82,2.52,other,vegan,north_india,"['lunch', 'dinner']","[""vegan""]",medium
green chickpeas pulao (choliya pulao/hare chane ka pulao),173.43,4.88,27.57,4.82,3.15,2.48,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
mutton biryani/biriyani,190.76,7.38,22.5,7.72,2.42,2.39,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
vegetable biryani/biriyani,174.61,3.16,18.56,9.51,3.31,2.14,vegetable,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
"lemon rice (pulihora, elumichai sadam, chitranna)",176.3,4.26,21.62,7.88,2.52,0.78,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
sweet rice (meethe chawal),215.41,2.1,42.59,4.57,1.13,24.8,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""low-fat"", ""vegan""]",high
curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam),195.74,5.75,32.93,4.32,2.13,3.91,grain,veg,north_india,"['breakfast', 'lunch', 'dinner']","[""low-fat"", ""veg""]",medium
tamarind rice (chintapandu pulihora/puliyodharai/puli sadam/huli anna),373.04,7.45,65.08,8.53,5.12,11.65,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""high-fiber"", ""vegan""]",medium
spanish rice,164.24,4.19,31.1,2.23,2.78,1.26,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""low-fat"", ""vegan""]",medium
chinese fried rice,120.58,4.05,13.4,5.43,2.31,1.47,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""vegan""]",medium
macroni cheese pie,170.63,5.85,21.1,7.48,0.4,3.4,other,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
vegetable chowmein,129.71,3.07,15.44,6.36,1.86,1.97,vegetable,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""vegan""]",medium
chicken chowmein,151.33,6.33,13.3,8.23,1.64,1.63,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
cheese noodle ring,133.67,6.22,13.96,6.12,1.27,2.84,other,veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""veg""]",medium
spaghetti and cheese balls in tomato sauce,508.32,2.41,7.82,52.08,0.59,1.83,other,veg,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""veg""]",medium
penne platter,177.4,5.04,20.87,8.71,1.09,4.5,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
pasta hot pot,125.17,5.84,11.6,6.47,0.8,5.99,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""vegan""]",medium
chicken lasagne,187.49,10.45,13.9,10.36,0.11,2.74,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
fettuccine with spinach sauce,129.21,3.1,12.19,7.83,0.77,1.18,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""vegan""]",medium
naan,286.45,8.05,51.75,4.99,1.91,5.59,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""low-fat"", ""vegan""]",high
bhatura,793.2,1.63,10.73,82.56,0.38,0.69,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
idli,137.54,4.64,28.18,0.33,2.31,0.28,grain,vegan,south_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
masala dosa,164.58,3.29,19.57,7.84,2.52,1.33,grain,vegan,south_india,"['breakfast', 'lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
semolina dosa (suji/rava dosa),227.05,7.3,32.84,7.12,4.04,4.37,grain,vegan,south_india,"['breakfast', 'lunch', 'dinner']","[""vegan""]",medium
onion tomato uttapam,462.02,1.91,11.32,45.3,1.26,0.8,other,vegan,south_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
paneer kaathi roll,285.94,6.92,20.1,19.55,2.4,3.29,protein,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
makki ki roti,263.97,3.49,24.19,16.85,5.19,0.7,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""high-fiber"", ""diabetes-friendly"", ""vegan""]",medium
washed moong dal (dhuli moong ki dal),50.0,2.68,5.91,1.68,1.17,0.12,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
washed urad dal (dhuli urad ki dal),61.32,2.51,5.84,2.98,1.53,0.32,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
split bengal gram with bottle gourd (channa dal with ghiya/lauki),73.25,2.79,7.1,3.6,2.72,1.05,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
dry washed urad,124.71,6.85,15.66,3.5,4.06,0.73,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
mixed dal,61.93,2.51,5.79,3.1,1.62,0.34,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
whole moong (moong ki dal),53.7,2.25,5.22,2.56,2.02,0.59,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
whole masoor (masoor ki dal),54.05,2.28,5.37,2.52,1.98,0.67,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
whole moth (moth ki dal),55.0,2.01,5.74,2.62,1.85,0.66,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
whole urad (urad ki dal),53.8,2.21,5.05,2.62,2.32,0.57,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
moti mahal dal (urad rajmah mix dal),103.13,3.93,8.74,5.66,3.38,1.7,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
black channa curry/bengal gram curry (kale chane ki curry),140.68,5.67,14.11,6.61,7.99,2.36,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""high-fiber"", ""diabetes-friendly"", ""vegan""]",low
chickpeas curry (safed channa curry),163.43,6.1,19.98,6.84,4.73,4.78,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
lobia curry,148.99,6.06,17.88,5.62,4.57,2.51,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""vegan""]",medium
soyabean curry,163.28,10.43,6.76,10.19,7.34,2.66,protein,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""high-fiber"", ""diabetes-friendly"", ""vegan""]",low
