name,calories,protein,carbs,fat,fiber,sugar,category,diet_type,region,meal_type,health_tags,glycemic_index
"crunchmaster, multi-grain crisps, snack crackers, gluten-free",456.0,10.91,67.18,15.92,7.5,0.8,grain,vegan,global,"[""snack""]","[""good-protein"", ""high-fiber"", ""diabetes-friendly""]",high
"glutino, gluten free cookies, chocolate vanilla creme",474.0,2.19,76.03,17.89,2.5,49.0,snack,vegan,global,"[""snack""]",[],high
"glutino, gluten free cookies, vanilla creme",487.0,2.19,77.34,18.79,0.0,49.43,snack,vegan,global,"[""snack""]",[],high
"pepperidge farm, goldfish, baked snack crackers, original",467.0,9.42,65.81,18.42,2.4,1.03,grain,non-veg,global,"[""lunch"", ""dinner"", ""snack""]","[""good-protein"", ""diabetes-friendly""]",high
"pepperidge farm, goldfish, baked snack crackers, parmesan",459.0,11.16,64.7,17.29,3.5,0.83,grain,non-veg,global,"[""lunch"", ""dinner"", ""snack""]","[""good-protein"", ""diabetes-friendly""]",high
"pepperidge farm, goldfish, baked snack crackers, pizza",469.0,9.67,65.11,18.93,3.5,0.86,grain,non-veg,global,"[""lunch"", ""dinner"", ""snack""]","[""good-protein"", ""diabetes-friendly""]",high
"rudi's, gluten-free bakery, original sandwich bread",320.0,3.13,52.83,10.7,3.5,8.36,grain,vegan,global,"[""breakfast"", ""lunch"", ""dinner""]",[],high
"udi's, gluten free, soft & delicious white sandwich bread",298.0,5.4,51.15,8.02,5.5,11.3,grain,vegan,global,"[""breakfast"", ""lunch"", ""dinner""]","[""high-fiber""]",high
"udi's, gluten free, soft & hearty whole grain bread",309.0,7.25,49.09,9.34,4.9,9.81,grain,vegan,global,"[""breakfast""]",[],medium
"udi's, gluten free, whole grain dinner rolls",329.0,11.8,44.29,11.6,11.2,4.2,other,vegan,global,"[""lunch"", ""dinner""]","[""good-protein"", ""high-fiber"", ""diabetes-friendly""]",medium
"van's, gluten free, totally original pancakes",215.0,3.31,40.32,4.55,1.5,4.06,grain,vegan,global,"[""breakfast"", ""snack""]","[""low-fat"", ""diabetes-friendly""]",medium
"seaweed, canadian cultivated emi-tsunomata, dry",259.0,15.34,46.24,1.39,36.7,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein"", ""low-fat"", ""heart-healthy"", ""high-fiber"", ""diabetes-friendly""]",low
"seaweed, canadian cultivated emi-tsunomata, rehydrated",31.0,1.86,5.62,0.17,4.5,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"potatoes, hash brown, refrigerated, unprepared",84.0,1.75,19.16,0.08,1.8,0.91,other,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",low
"potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",242.0,3.24,33.99,10.3,3.6,1.16,oil,vegan,global,"[""lunch"", ""dinner""]","[""diabetes-friendly""]",medium
"sweet potatoes, french fried, frozen as packaged, salt added in processing",182.0,2.16,35.58,8.92,5.7,12.9,spice,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-fiber""]",medium
"moose, meat, raw (alaska native)",103.0,22.3,0.0,1.5,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"mashu roots, raw (alaska native)",135.0,5.8,22.6,2.4,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",medium
"moose, liver, braised (alaska native)",155.0,24.38,3.43,4.89,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"seal, bearded (oogruk), meat, raw (alaska native)",110.0,26.7,0.0,0.4,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"oil, bearded seal (oogruk) (alaska native)",899.0,0.56,0.0,99.6,0.0,0.0,oil,vegan,global,"[""lunch"", ""dinner""]","[""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"oopah (tunicate), whole animal (alaska native)",67.0,11.7,0.0,2.2,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"owl, horned, flesh, raw (alaska native)",136.0,22.7,0.0,5.0,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, king, chinook, smoked and canned (alaska native)",150.0,23.2,0.0,5.9,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, king, chinook, smoked, brined (alaska native)",430.0,39.9,0.0,30.0,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, king, chinook, liver (alaska native)",156.0,16.6,4.3,8.0,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"duck, scoter, white-winged, meat (alaska native)",84.0,20.2,0.0,0.4,0.0,0.0,other,non-veg,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"sea cucumber, yane (alaska native)",56.0,13.0,0.0,0.4,0.0,0.0,vegetable,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"squirrel, ground, meat (alaska native)",111.0,19.3,0.0,3.8,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"tea, tundra, herb and laborador combination (alaska native)",1.0,0.0,0.2,0.0,0.0,0.0,beverage,vegan,global,"[""beverage""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"walrus, meat, dried (alaska native)",251.0,57.0,0.0,2.6,0.0,0.0,other,vegan,global,"[""snack""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"deer (venison), sitka, raw (alaska native)",116.0,21.5,0.0,2.66,0.0,0.0,other,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"whale, bowhead, subcutaneous fat (blubber) (alaska native)",870.0,0.4,0.0,96.5,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"whale, bowhead, skin and subcutaneous fat (muktuk) (alaska native)",465.0,12.6,0.0,46.1,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"oil, whale, bowhead (alaska native)",900.0,0.0,0.0,100.0,0.0,0.0,oil,vegan,global,"[""lunch"", ""dinner""]","[""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, whitefish, broad, liver (alaska native)",104.0,11.0,5.1,4.4,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""good-protein"", ""low-carb"", ""low-fat"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"mush, blue corn with ash (navajo)",54.0,0.66,11.74,0.49,1.1,0.19,grain,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"cornmeal, blue (navajo)",398.0,10.4,76.93,5.44,8.7,1.81,grain,vegan,global,"[""lunch"", ""dinner""]","[""good-protein"", ""high-fiber"", ""diabetes-friendly""]",high
"melon, banana (navajo)",21.0,0.84,4.06,0.2,0.3,3.36,fruit,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
chilchen (red berry beverage) (navajo),44.0,0.81,8.68,0.63,0.0,2.6,fruit,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"corn, dried (navajo)",386.0,9.88,74.93,5.22,0.0,5.38,grain,vegan,global,"[""snack""]","[""good-protein""]",high
"squash, indian, cooked, boiled (navajo)",16.0,0.31,3.22,0.15,1.5,2.02,oil,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"bread, kneel down (navajo)",195.0,4.29,39.47,2.21,0.0,3.74,grain,vegan,global,"[""breakfast""]","[""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",medium
"mutton, cooked, roasted (navajo)",234.0,33.43,0.08,11.09,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"frybread, made with lard (navajo)",330.0,6.69,48.26,12.22,0.0,2.03,grain,vegan,global,"[""breakfast""]","[""diabetes-friendly""]",high
tamales (navajo),153.0,6.28,18.12,6.12,3.1,0.99,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""diabetes-friendly""]",low
"stew, steamed corn (navajo)",112.0,8.82,10.8,3.75,2.3,0.51,grain,vegan,global,"[""beverage""]","[""weight-loss"", ""good-protein"", ""low-fat"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, halibut, raw, with skin (alaska native)",116.0,20.53,1.81,2.92,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, coho (silver), raw (alaska native)",140.0,22.56,0.0,5.57,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"blueberries, wild, raw (alaska native)",61.0,1.22,12.31,0.76,2.6,6.46,other,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-fat"", ""heart-healthy""]",low
"oil, spotted seal (alaska native)",894.0,0.0,0.0,99.32,0.0,0.0,oil,vegan,global,"[""lunch"", ""dinner""]","[""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, red, canned, bones removed (alaska native)",161.0,27.31,0.0,5.76,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, whitefish, eggs (alaska native)",104.0,14.66,4.89,2.88,0.0,0.0,protein,non-veg,global,"[""breakfast"", ""lunch"", ""dinner""]","[""weight-loss"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"caribou, rump meat, half dried (alaska native)",255.0,52.06,0.0,5.23,0.0,0.0,other,vegan,global,"[""snack""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, red, (sockeye), canned, smoked (alaska native)",206.0,35.19,0.0,7.26,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, red, (sockeye), kippered (alaska native)",141.0,24.5,0.0,4.75,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, salmon, king, with skin, kippered, (alaska native)",209.0,23.19,0.0,12.95,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"fish, sheefish, raw (alaska native)",115.0,22.25,0.0,2.84,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"buffalo, free range, top round steak, raw (shoshone bannock)",97.0,21.44,0.0,1.3,0.0,0.0,beverage,vegan,global,"[""beverage""]","[""very-low-calorie"", ""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"seal, bearded (oogruk), meat, partially dried (alaska native)",270.0,62.38,0.0,2.31,0.0,0.0,other,vegan,global,"[""snack""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
